Date,Open,High,Low,Close,Adj Close,Volume
2013-02-21,698.75,704.911987,698.25,701.687988,539.154297,258348
2013-02-22,699.75,713.75,699.75,709.138,544.878601,595912
2013-02-25,716.263,731,715.588013,729.299988,560.370361,865332
2013-02-26,728.25,742.5,727.25,740.025024,568.611206,681940
2013-02-27,737.375,737.375,725.661987,728.450012,559.717407,269864
2013-02-28,728,733.75,721.5,726.5,558.218994,241256
2013-03-01,722.5,740,720.75,727.112,558.68927,202812
2013-03-04,729,735.25,718.299988,725.75,557.6427,389804
2013-03-05,729.5,734.75,728.150024,730.237,561.090393,225768
2013-03-06,735,743.575012,732.625,741.612,569.830566,483688
2013-03-07,745,752.5,744,751.187988,577.188416,701212
2013-03-08,747,747.5,739.375,742.549988,570.551331,232308
2013-03-11,745,747.25,732.625,736.437988,565.855103,162112
2013-03-12,733.5,736.187988,728.25,729.400024,560.447327,206728
2013-03-13,724.75,724.75,713.724976,715.612,549.853088,186492
2013-03-14,718.25,722.5,710.775024,718.724976,552.244934,275308
2013-03-15,717.349976,727.687988,717.349976,720.924988,553.935303,265144
2013-03-18,718.5,722.5,713.25,715.349976,549.651672,110824
2013-03-19,717.5,721.674988,710.75,714.112,548.700439,139180
2013-03-20,715,718.75,707.25,717.312012,551.159241,118660
2013-03-21,720.825012,723.224976,716,719.125,552.552246,251504
2013-03-22,712.5,718.5,707.513,715.150024,549.498047,201468
2013-03-25,703.75,716.224976,703.75,713.349976,548.114929,264928
2013-03-26,710.5,717,708.263,713.575012,548.287903,99432
2013-03-28,713.575012,727.25,713.575012,722.474976,555.126282,471988
2013-04-01,722.474976,738.400024,722.474976,735.812012,565.374023,321428
2013-04-02,733.25,746.724976,729.763,742.536987,570.541321,256176
2013-04-03,736.25,748.75,736.25,741,569.360352,154408
2013-04-04,737.5,738.75,718.437988,720.713013,553.772522,199232
2013-04-05,718.25,724.338013,712.75,715.963013,550.12262,148068
2013-04-08,712.75,717.650024,707.25,708.286987,544.224792,109000
2013-04-09,709.974976,709.974976,688.888,691.588013,531.393799,221312
2013-04-10,700.075012,706.75,694.5,703.312012,540.402039,337336
2013-04-11,715.25,733.325012,708.763,729.463013,560.495667,598560
2013-04-12,656.525024,656.525024,567,573.862,440.936981,7721828
